Jar Name,Source Link,License Link,License
akuma-1.9.jar,http://akuma.kohsuke.org/,,The MIT License
avro-tools-1.8.1.jar,https://avro.apache.org/,,Apache License
commons-codec-1.10.jar,http://commons.apache.org/proper/commons-codec/,,Apache License
externalsortinginjava-0.1.9.jar,https://github.com/lemire/externalsortinginjava,https://github.com/lemire/externalsortinginjava/blob/master/LICENSE.txt,
h2-1.4.187.jar,http://www.h2database.com/html/main.html,http://www.h2database.com/html/license.html,
hamcrest-core-1.3.jar,https://github.com/hamcrest/JavaHamcrest/,https://github.com/hamcrest/JavaHamcrest/blob/master/LICENSE.txt,BSD License
httpclient-4.2.6.jar,http://hc.apache.org/,,Apache License
httpclient-cache-4.2.6.jar,http://hc.apache.org/,,Apache License
httpcore-4.2.5.jar,http://hc.apache.org/,,Apache License
iris-0.60.jar,http://www.iris-reasoner.org/,http://www.iris-reasoner.org/license/,LGPL License
iris-parser-0.60.jar,http://www.iris-reasoner.org/,http://www.iris-reasoner.org/license/,LGPL License
jackson-annotations-2.3.0.jar,https://github.com/FasterXML/jackson,https://github.com/FasterXML/jackson#paperwork,
jackson-core-2.3.3.jar,https://github.com/FasterXML/jackson,https://github.com/FasterXML/jackson#paperwork,
jackson-databind-2.3.3.jar,https://github.com/FasterXML/jackson,https://github.com/FasterXML/jackson#paperwork,
je-7.3.7.jar,https://www.oracle.com/database/technologies/related/berkeleydb-downloads.html,https://www.oracle.com/technetwork/database/berkeleydb/downloads/licensing-098979.html,
jedis-2.9.0.jar,https://github.com/xetorthio/jedis/releases,https://github.com/xetorthio/jedis/blob/master/LICENSE.txt,MIT License
jena-arq-3.0.0.jar,https://jena.apache.org/,,Apache License 2.0
jena-base-3.0.0.jar,https://jena.apache.org/,,Apache License 2.0
jena-core-3.0.0.jar,https://jena.apache.org/,,Apache License 2.0
jena-iri-3.0.0.jar,https://jena.apache.org/,,Apache License 2.0
jena-shaded-guava-3.0.0.jar,https://jena.apache.org/,,Apache License 2.0
jena-tdb-3.0.0.jar,https://jena.apache.org/,,Apache License 2.0
jgrapht-core-0.9.2.jar,https://jgrapht.org/,https://github.com/jgrapht/jgrapht/blob/master/license-EPL.txt,
jna-4.1.0.jar,https://github.com/java-native-access/jna,https://github.com/java-native-access/jna/blob/master/LICENSE,
jsonld-java-0.5.1.jar,https://github.com/jsonld-java/jsonld-java,https://github.com/jsonld-java/jsonld-java/blob/master/LICENCE,
junit-4.12.jar,https://junit.org/junit5/,https://github.com/junit-team/junit5/blob/master/LICENSE.md,
kafkaclients-CDM20.jar,http://kafka.apache.org/,,Apache License 2.0
leveldbjni-all-1.8.jar,https://github.com/google/leveldb/releases,https://github.com/google/leveldb/blob/master/LICENSE,
mysql-connector-java-5.1.38-bin.jar,https://downloads.mysql.com/archives/c-j/,https://github.com/mysql/mysql-connector-j/blob/release/8.0/LICENSE,
OoaBFilter_commit_31792eb.jar,https://github.com/jmhodges/opposite_of_a_bloom_filter/tree/31792eb58e55d67e7f8d7373f1b055a990241cb5,https://github.com/jmhodges/opposite_of_a_bloom_filter/blob/master/LICENSE,MIT License
org.json-20120521.jar,https://github.com/stleary/JSON-java,https://github.com/stleary/JSON-java/blob/master/LICENSE,
postgresql-9.4.1212.jar,https://jdbc.postgresql.org/,https://github.com/pgjdbc/pgjdbc/blob/master/LICENSE,
restfb-1.6.14.jar,https://restfb.com/,,MIT License
xercesImpl-2.11.0.jar,https://xerces.apache.org/xerces2-j/,,Apache License 2.0
xml-apis-1.4.01.jar,http://xerces.apache.org/xml-commons/index.html,http://xerces.apache.org/xml-commons/licenses.html,
commons-io-2.6.jar,https://commons.apache.org/proper/commons-io/download_io.cgi,,Apache License
commons-lang-2.6.jar,http://commons.apache.org/proper/commons-lang/download_lang.cgi,,Apache License
guava-16.0.1.jar,https://github.com/google/guava/wiki/Release16,https://github.com/google/guava/blob/master/COPYING,Apache License 2.0
jackson-mapper-asl-1.9.13.jar,https://github.com/FasterXML/jackson,https://github.com/FasterXML/jackson#paperwork,
slf4j-api-1.7.30.jar,http://www.slf4j.org/,http://www.slf4j.org/license.html,MIT License
neo4j-community-3.4.4-unix.tar.gz,https://neo4j.com/,https://neo4j.com/licensing/,
